('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         455445 function calls (440261 primitive calls) in 1.553 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51106    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    50242    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
43706/39796    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    18244    0.005    0.000    0.007    0.000 sre_parse.py:165(__getitem__)
    15073    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
    12081    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
    11274    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     9462    0.003    0.000    0.006    0.000 sre_parse.py:255(get)
     8723    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     7945    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     7755    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     7661    0.002    0.000    0.002    0.000 sre_parse.py:161(__len__)
     7387    0.002    0.000    0.003    0.000 sre_parse.py:250(match)
     6417    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5716    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5383    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     4966    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     4786    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
     4611    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     4611    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4095    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3820    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     3754    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3728    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
 3315/151    0.012    0.000    0.027    0.000 sre_compile.py:87(_compile)
 3273/281    0.005    0.000    0.006    0.000 sre_parse.py:175(getwidth)
     2960    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     2922    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
 2862/158    0.019    0.000    0.053    0.000 sre_parse.py:494(_parse)
     2850    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
     2703    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2553    0.002    0.000    0.005    0.000 __init__.py:558(endData)
     2498    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2465    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2441    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     2311    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2212    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
2203/1371    0.003    0.000    0.007    0.000 element.py:2192(_matches)
     2143    0.002    0.000    0.002    0.000 element.py:157(setup)
     2138    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     2077    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1995    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1899    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1811    0.001    0.000    0.013    0.000 element.py:2159(search)
     1668    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1574    0.001    0.000    0.001    0.000 ssl.py:1109(_checkClosed)
     1448    0.000    0.000    0.001    0.000 element.py:1489(get)
     1375    0.002    0.000    0.011    0.000 element.py:2096(search_tag)
     1368    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1356    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1275    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1275    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1275    0.004    0.000    0.012    0.000 element.py:1180(__init__)
     1275    0.002    0.000    0.002    0.000 __init__.py:544(pushTag)
     1274    0.008    0.000    0.041    0.000 parser.py:300(parse_starttag)
     1274    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     1274    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1274    0.003    0.000    0.022    0.000 _htmlparser.py:122(handle_starttag)
     1274    0.001    0.000    0.010    0.000 _htmlparser.py:177(handle_endtag)
     1274    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1274    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     1274    0.002    0.000    0.004    0.000 __init__.py:660(_popToTag)
     1274    0.003    0.000    0.018    0.000 __init__.py:694(handle_starttag)
     1274    0.001    0.000    0.010    0.000 __init__.py:735(handle_endtag)
     1264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1264    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1205    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1205    0.003    0.000    0.014    0.000 parser.py:385(parse_endtag)
     1145    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      983    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      966    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      966    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
  949/152    0.004    0.000    0.053    0.000 sre_parse.py:436(_parse_sub)
      901    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
